ICEBERG_YEAR,ICEBERG_NUMBER,SIGHTING_DATE,SIGHTING_TIME,SIGHTING_LATITUDE,SIGHTING_LONGITUDE,SIGHTING_METHOD,SIZE,SHAPE,SOURCE
2003,47,3/23/2003,1759,48.93,-50.52,R/V,SM,DD,GPCD
2003,47,4/5/2003,1634,47.75,-47.15,RAD,SM,DD,1503
2003,48,3/1/2003,1750,51.78,-54.45,VIS,BB,NTB,GCFR
2003,48,3/21/2003,1903,48.97,-50.75,VIS,SM,TAB,1504
2003,48,3/30/2003,1353,47.98,-47.80,R/V,BB,DOM,GPCD
2003,49,3/1/2003,1750,52.02,-54.20,VIS,MED,PIN,GCFR
2003,50,3/3/2003,0,51.97,-54.47,VIS,LG,PIN,BAPS
2003,51,3/3/2003,0,51.97,-54.18,VIS,MED,DD,BAPS
2003,51,3/13/2003,1922,50.91,-52.71,R/V,MED,DD,GPCD
2003,51,3/21/2003,1836,50.53,-52.04,R/V,LG,DOM,1504
2003,51,3/23/2003,2109,50.37,-52.08,R/V,MED,DOM,GPCD
2003,51,4/18/2003,1916,48.10,-48.66,R/V,MED,TAB,GPCD
2003,51,4/25/2003,1326,47.21,-47.60,R/V,MED,TAB,GPCD
2003,51,4/26/2003,1403,47.02,-47.65,R/V,SM,DD,GPCD
2003,51,5/5/2003,1858,44.70,-48.87,R/V,LG,NTB,1503
2003,51,5/21/2003,1523,42.67,-51.38,RAD,LG,NTB,1501
2003,52,3/3/2003,0,51.94,-53.95,VIS,SM,NTB,BAPS
2003,52,3/16/2003,1339,50.70,-51.98,R/V,SM,TAB,GPCD
2003,53,3/2/2003,1200,51.88,-54.18,VIS,MED,PIN,BAPS
2003,53,3/23/2003,2112,50.44,-51.92,R/V,MED,DOM,GPCD
2003,53,4/18/2003,1910,48.22,-49.07,R/V,MED,WDG,GPCD
2003,53,4/25/2003,1326,47.22,-47.60,R/V,MED,TAB,GPCD
2003,53,4/26/2003,1404,47.06,-47.66,R/V,SM,TAB,GPCD
2003,53,4/29/2003,1619,46.33,-48.69,R/V,GEN,GEN,GPCD
2003,54,3/2/2003,1200,51.99,-54.68,VIS,SM,NTB,BAPS
2003,55,3/2/2003,1200,51.98,-54.08,VIS,SM,NTB,BAPS
2003,55,3/21/2003,1848,50.00,-51.90,R/V,MED,NTB,1504
2003,55,3/23/2003,1951,49.66,-51.54,R/V,MED,DD,GPCD
2003,56,3/2/2003,1800,51.99,-54.06,VIS,SM,NTB,BAPS
2003,56,3/13/2003,1922,50.77,-52.38,R/V,SM,DD,GPCD
2003,57,3/2/2003,1800,51.96,-53.95,VIS,MED,NTB,BAPS
2003,57,3/16/2003,1343,50.83,-51.96,R/V,MED,DD,GPCD
2003,57,3/21/2003,1849,50.08,-51.36,RAD,GEN,RAD,1504
2003,57,3/23/2003,2004,50.02,-50.91,R/V,LG,DD,GPCD
2003,57,4/8/2003,1718,48.80,-49.11,R/V,LG,PIN,GPCD
2003,57,4/23/2003,1620,48.07,-45.23,R/V,GEN,GEN,LY23
2003,58,3/3/2003,600,51.99,-53.39,VIS,GR,NTB,BAPS
2003,59,3/3/2003,600,51.98,-54.89,VIS,SM,PIN,BAPS
2003,59,3/23/2003,1935,49.15,-52.07,R/V,SM,DOM,GPCD
2003,59,3/30/2003,1513,48.44,-50.70,RAD,SM,DOM,GPCD
2003,60,3/3/2003,600,51.97,-54.64,VIS,SM,PIN,BAPS
2003,61,3/3/2003,600,51.96,-54.54,VIS,SM,NTB,BAPS
2003,62,3/3/2003,600,51.98,-54.52,VIS,SM,NTB,BAPS
2003,62,3/16/2003,1352,50.57,-52.54,RAD,SM,NTB,GPCD
2003,63,3/3/2003,600,51.96,-53.86,VIS,SM,NTB,BAPS
2003,63,3/21/2003,1832,50.56,-51.44,R/V,MED,NTB,1504
2003,64,3/3/2003,1200,51.97,-54.95,VIS,MED,WDG,BAPS
2003,65,3/3/2003,1800,51.99,-54.81,VIS,SM,NTB,BAPS
2003,65,4/3/2003,2109,48.46,-49.25,R/V,SM,DD,GPCD
2003,66,3/3/2003,1800,51.98,-54.02,VIS,SM,WDG,BAPS
2003,66,3/13/2003,1922,50.85,-52.34,R/V,SM,DD,GPCD
2003,66,3/23/2003,2113,50.52,-51.92,R/V,SM,DOM,GPCD
2003,67,3/5/2003,1200,51.99,-53.73,VIS,SM,NTB,BAPS
2003,67,3/16/2003,1348,51.10,-52.03,RAD,SM,NTB,GPCD
2003,67,3/21/2003,1823,50.59,-51.62,R/V,MED,NTB,1504
2003,67,4/18/2003,1923,48.17,-48.10,R/V,GEN,GEN,GPCD
2003,68,3/5/2003,1800,51.99,-53.48,VIS,MED,NTB,BAPS
2003,68,3/13/2003,1910,51.38,-52.46,R/V,MED,DD,GPCD
2003,68,3/21/2003,1708,51.22,-51.40,RAD,GEN,RAD,1504
2003,69,3/9/2003,0,51.95,-52.65,VIS,GR,DOM,BAPS
2003,70,3/8/2003,1800,51.95,-52.22,R/V,GR,DOM,BAPS
2003,71,3/8/2003,1800,51.93,-52.51,VIS,GR,DOM,BAPS
2003,72,3/8/2003,1800,51.95,-52.33,VIS,GR,TAB,BAPS
2003,73,3/8/2003,1800,51.96,-52.43,VIS,GR,NTB,BAPS
2003,74,3/8/2003,1800,51.96,-53.04,VIS,GR,TAB,BAPS
2003,75,3/8/2003,1800,51.91,-53.52,VIS,GR,TAB,BAPS
2003,75,3/21/2003,1833,50.73,-51.85,VIS,SM,DD,1504
2003,75,3/23/2003,2113,50.57,-51.82,R/V,SM,PIN,GPCD
2003,76,3/9/2003,1421,47.80,-52.65,RAD,RAD,RAD,GPCD
2003,76,3/16/2003,1201,47.89,-52.03,RAD,RAD,RAD,GPCD
2003,76,4/14/2003,1744,47.76,-49.81,R/V,LG,TAB,GPCD
2003,76,4/15/2003,1205,47.73,-49.68,R/V,LG,TAB,GPCD
2003,76,4/17/2003,2028,47.60,-49.46,R/V,LG,TAB,GPCD
2003,76,4/25/2003,1402,47.33,-48.97,R/V,LG,TAB,GPCD
2003,76,4/26/2003,1512,47.35,-48.82,R/V,LG,WDG,GPCD
2003,76,4/28/2003,1207,47.23,-48.79,R/V,LG,DD,GPCD
2003,76,4/29/2003,1730,47.24,-48.59,R/V,LG,TAB,GPCD
2003,76,5/1/2003,1733,47.18,-48.29,R/V,LG,TAB,GPCD
2003,76,5/3/2003,1406,47.04,-47.94,R/V,MED,TAB,GPCD
2003,76,5/8/2003,1059,46.05,-48.35,R/V,GEN,GEN,GPCD
2003,76,5/20/2003,1424,45.67,-49.23,RAD,GEN,GEN,1501
2003,77,3/9/2003,1200,51.95,-54.44,VIS,SM,NTB,BAPS
2003,77,3/23/2003,2027,50.02,-52.27,R/V,SM,DD,GPCD
2003,78,3/9/2003,1200,51.98,-54.60,VIS,MED,NTB,BAPS
2003,78,3/23/2003,2035,49.99,-53.37,R/V,MED,TAB,GPCD
2003,78,4/8/2003,1703,48.54,-50.50,R/V,LG,TAB,GPCD
2003,78,4/14/2003,1514,48.14,-49.59,RAD,LG,TAB,GPCD
2003,78,4/15/2003,1259,47.99,-49.41,R/V,LG,TAB,GPCD
2003,78,4/17/2003,2020,47.75,-48.88,R/V,GEN,TAB,GPCD
2003,78,4/24/2003,1329,46.80,-48.08,R/V,GEN,GEN,GPCD
2003,78,4/26/2003,1323,46.60,-48.17,R/V,GR,DD,GPCD
2003,78,4/29/2003,1619,46.34,-48.69,R/V,GEN,GEN,GPCD
2003,78,5/5/2003,1920,45.65,-49.02,R/V,MED,GEN,VCSR
2003,79,3/9/2003,1800,51.99,-54.38,VIS,SM,NTB,BAPS
2003,79,3/16/2003,1408,51.06,-53.62,RAD,SM,NTB,GPCD
2003,79,3/23/2003,2204,50.35,-52.99,R/V,SM,DOM,GPCD
2003,79,4/18/2003,1858,48.49,-49.74,R/V,MED,DD,GPCD
2003,79,4/20/2003,2012,48.08,-49.04,R/V,GEN,GEN,GPCD
2003,79,4/24/2003,1349,47.45,-48.39,R/V,SM,DOM,GPCD
2003,79,4/26/2003,1456,47.12,-48.14,R/V,MED,DD,GPCD
2003,79,4/29/2003,1703,46.90,-47.77,R/V,GEN,GEN,GPCD
2003,79,5/5/2003,1730,45.18,-48.46,R/V,GEN,GEN,1503
2003,79,5/7/2003,2000,44.80,-48.90,R/V,SM,GEN,V7AB
2003,79,5/8/2003,2045,44.43,-49.00,R/V,GEN,GEN,CG29
2003,79,5/9/2003,2130,43.67,-49.58,RAD,GEN,GEN,P3KE
2003,79,5/16/2003,1320,40.47,-49.25,R/V,GEN,NTB,VRWM
2003,80,3/9/2003,1200,51.92,-54.22,VIS,GR,NTB,BAPS
2003,81,3/9/2003,1200,51.99,-54.21,VIS,GR,NTB,BAPS
2003,82,3/13/2003,0,51.98,-54.50,VIS,SM,NTB,BAPS
2003,82,4/8/2003,1710,48.74,-50.45,R/V,GEN,GEN,GPCD
2003,82,4/14/2003,1543,48.03,-48.63,RAD,GEN,GEN,GPCD
2003,82,4/18/2003,2045,47.58,-47.73,R/V,MED,DD,GPCD
2003,82,4/28/2003,645,45.27,-47.97,RAD,MED,DD,VRVB
2003,83,3/16/2003,600,51.99,-54.77,VIS,SM,NTB,BAPS
2003,83,4/18/2003,1842,48.59,-50.68,R/V,MED,TAB,GPCD
2003,83,4/24/2003,1624,48.19,-49.90,R/V,MED,DD,GPCD
2003,83,5/1/2003,1536,47.70,-49.37,R/V,MED,TAB,GPCD
2003,83,5/3/2003,1104,47.61,-49.05,R/V,LG,TAB,GPCD
2003,83,5/5/2003,1318,47.39,-48.94,R/V,GEN,GEN,1503
2003,83,5/6/2003,2100,47.33,-48.60,RAD,GEN,GEN,UCJA
2003,83,5/7/2003,1050,47.28,-48.49,R/V,GEN,GEN,DYRT
2003,83,5/8/2003,1258,47.25,-48.28,R/V,MED,TAB,GPCD
2003,83,5/13/2003,50,46.76,-48.03,RAD,MED,TAB,ZCBD
2003,83,5/14/2003,1215,46.65,-47.99,R/V,MED,TAB,GPCD
2003,83,5/17/2003,1314,46.50,-47.58,R/V,MED,DD,GPCD
2003,83,5/19/2003,1230,45.99,-47.54,R/V,MED,DD,GPCD
2003,84,3/16/2003,600,51.97,-54.76,VIS,SM,NTB,BAPS
2003,84,4/18/2003,1900,48.40,-49.73,R/V,SM,DD,GPCD
2003,84,4/20/2003,2012,48.02,-48.95,R/V,GEN,GEN,GPCD
2003,84,4/24/2003,1348,47.42,-48.41,R/V,SM,DOM,GPCD
2003,84,4/25/2003,1349,47.25,-48.15,R/V,SM,DD,GPCD
2003,84,4/26/2003,1455,47.17,-48.22,R/V,SM,TAB,GPCD
2003,84,4/29/2003,1705,46.92,-47.98,R/V,SM,DOM,GPCD
2003,85,3/16/2003,600,51.98,-54.88,VIS,SM,NTB,BAPS
2003,85,4/15/2003,1323,48.32,-50.41,R/V,MED,PIN,GPCD
2003,85,4/20/2003,2009,47.88,-49.31,R/V,MED,PIN,GPCD
2003,85,4/24/2003,1523,47.57,-49.04,R/V,MED,DD,GPCD
2003,85,4/25/2003,1432,47.59,-48.98,R/V,LG,GEN,GPCD
2003,85,4/29/2003,1741,47.67,-48.99,R/V,LG,WDG,GPCD
2003,85,5/1/2003,1653,47.63,-48.72,R/V,MED,TAB,GPCD
2003,85,5/3/2003,1409,47.35,-48.29,R/V,MED,TAB,GPCD
2003,85,5/5/2003,1410,47.16,-47.74,R/V,LG,NTB,1503
2003,85,5/8/2003,1107,46.41,-47.86,R/V,MED,TAB,GPCD
2003,86,3/16/2003,1200,51.95,-54.20,R/V,LG,DD,BAPS
2003,86,3/23/2003,1836,50.87,-52.94,R/V,LG,TAB,GPCD
2003,86,4/9/2003,1625,50.51,-51.53,R/V,LG,TAB,GPCD
2003,87,3/16/2003,1200,51.97,-54.77,VIS,SM,NTB,BAPS
2003,87,4/18/2003,1845,48.57,-50.53,R/V,SM,DOM,GPCD
2003,87,5/1/2003,1552,47.86,-48.42,R/V,SM,DD,GPCD
2003,88,3/16/2003,1800,51.96,-54.67,VIS,SM,TAB,BAPS
2003,88,4/18/2003,1842,48.76,-50.74,R/V,MED,TAB,GPCD
2003,88,4/24/2003,1621,48.19,-49.71,R/V,MED,DOM,GPCD
2003,88,5/1/2003,1546,47.78,-48.73,R/V,MED,TAB,GPCD
2003,88,5/3/2003,1259,47.53,-48.21,R/V,MED,DD,GPCD
2003,88,5/8/2003,730,46.70,-47.38,R/V,GEN,GEN,LADY
2003,89,3/16/2003,1800,51.98,-54.86,R/V,SM,TAB,BAPS
2003,89,4/15/2003,1323,48.27,-50.69,R/V,MED,PIN,GPCD
2003,89,4/20/2003,2017,48.11,-49.66,R/V,MED,PIN,GPCD
2003,89,4/24/2003,1604,47.72,-49.21,R/V,MED,DOM,GPCD
2003,89,5/1/2003,1545,47.88,-48.95,R/V,SM,DD,GPCD
2003,89,5/3/2003,1244,47.68,-48.46,R/V,LG,TAB,GPCD
2003,89,5/8/2003,1223,46.88,-47.26,R/V,LG,DD,GPCD
2003,89,5/19/2003,2043,43.73,-48.77,RAD,GEN,GEN,1501
2003,90,3/16/2003,1234,49.08,-51.86,R/V,MED,TAB,GPCD
2003,90,3/20/2003,1500,48.53,-51.30,R/V,MED,PIN,1504
2003,90,4/8/2003,1732,48.03,-49.11,R/V,MED,TAB,GPCD
2003,90,4/14/2003,1654,47.52,-47.36,RAD,MED,TAB,GPCD
2003,90,4/20/2003,1832,46.77,-47.04,R/V,MED,TAB,GPCD
2003,90,4/21/2003,1726,46.60,-47.02,R/V,GEN,GEN,1503
2003,90,4/28/2003,754,45.25,-47.37,RAD,GEN,GEN,VRVB
2003,91,3/16/2003,1240,49.08,-51.52,R/V,LG,DD,GPCD
2003,91,3/17/2003,2019,48.87,-50.98,R/V,LG,PIN,GPCD
2003,91,3/21/2003,1910,48.48,-50.85,R/V,VLG,TAB,1504
2003,91,3/25/2003,1951,48.23,-50.66,R/V,VLG,TAB,1504
2003,91,4/15/2003,1109,46.98,-47.81,R/V,LG,TAB,GPCD
2003,91,4/19/2003,1955,46.00,-47.38,R/V,GEN,GEN,1503
2003,91,4/21/2003,1340,45.62,-47.47,R/V,LG,NTB,1503
2003,92,3/17/2003,1901,48.10,-51.09,RAD,RAD,RAD,GPCD
2003,92,3/20/2003,2104,47.89,-51.23,R/V,SM,TAB,GPCD
2003,92,4/8/2003,1654,47.57,-50.12,RAD,SM,TAB,GPCD
2003,92,4/14/2003,1740,47.86,-49.58,R/V,MED,TAB,GPCD
2003,92,4/15/2003,1206,47.74,-49.58,R/V,SM,TAB,GPCD
2003,92,4/17/2003,2022,47.54,-48.95,R/V,SM,TAB,GPCD
2003,92,4/22/2003,1656,47.23,-48.04,R/V,SM,TAB,GPCD
2003,92,4/24/2003,1413,46.95,-47.87,R/V,SM,BLK,GPCD
2003,92,4/25/2003,1147,46.78,-47.90,R/V,SM,DD,GPCD
2003,92,4/26/2003,1330,46.79,-47.92,R/V,SM,DD,GPCD
2003,92,4/28/2003,1112,46.67,-48.10,R/V,BB,TAB,GPCD
2003,92,4/29/2003,1619,46.32,-48.68,R/V,GEN,GEN,GPCD
2003,93,3/17/2003,2054,48.54,-49.41,RAD,RAD,RAD,GPCD
2003,93,3/23/2003,1409,47.89,-47.99,R/V,MED,PIN,GPCD
2003,94,3/17/2003,2056,48.32,-49.07,RAD,RAD,RAD,GPCD
2003,94,3/23/2003,1359,47.93,-47.52,RAD,RAD,RAD,GPCD
2003,95,3/17/2003,2056,48.12,-49.23,RAD,RAD,RAD,GPCD
2003,95,3/20/2003,1723,47.51,-48.70,R/V,MED,TAB,1504
2003,95,3/23/2003,1355,47.43,-48.17,R/V,MED,DD,GPCD
2003,95,3/30/2003,1257,46.44,-47.34,R/V,MED,TAB,GPCD
2003,95,4/5/2003,1933,45.35,-47.18,R/V,MED,NTB,1503
2003,95,4/11/2003,250,44.75,-44.97,R/V,GEN,GEN,C6DN
2003,95,4/11/2003,1744,44.72,-44.78,R/V,GEN,GEN,V7DA
2003,96,3/17/2003,2057,48.01,-49.82,RAD,RAD,RAD,GPCD
2003,96,3/20/2003,1952,47.72,-49.53,R/V,SM,TAB,GPCD
2003,97,3/17/2003,1922,49.16,-51.71,R/V,MED,DD,GPCD
2003,97,3/23/2003,1500,48.23,-50.60,R/V,MED,TAB,GPCD
2003,97,3/23/2003,1746,48.26,-50.54,R/V,MED,PIN,GPCD
2003,97,3/25/2003,1946,48.11,-50.21,R/V,LG,PIN,1504
2003,97,3/30/2003,1446,47.77,-49.75,RAD,LG,PIN,GPCD
2003,97,4/8/2003,1939,47.27,-48.68,R/V,LG,PIN,GPCD
2003,97,4/9/2003,1453,47.25,-48.61,R/V,GEN,GEN,YL23
2003,97,4/15/2003,1106,46.95,-47.68,R/V,MED,TAB,GPCD
2003,97,4/19/2003,1950,46.05,-47.05,R/V,GEN,GEN,1503
2003,97,4/25/2003,2145,45.84,-47.26,R/V,BB,GEN,WCZ5
2003,98,3/17/2003,1922,49.16,-51.71,R/V,MED,TAB,GPCD
2003,98,3/21/2003,1907,48.73,-51.09,RAD,GEN,RAD,1504
2003,98,4/3/2003,2049,48.00,-48.04,R/V,SM,TAB,GPCD
2003,99,3/17/2003,1930,49.55,-51.70,R/V,SM,WDG,GPCD
2003,99,3/20/2003,1458,49.08,-51.47,R/V,MED,WDG,1504
2003,99,4/3/2003,2018,47.76,-47.56,R/V,MED,DD,GPCD
2003,100,3/17/2003,2029,48.43,-51.04,R/V,MED,TAB,GPCD
2003,100,3/21/2003,1442,47.90,-51.13,RAD,GEN,RAD,1504
2003,100,3/30/2003,1509,47.93,-50.62,R/V,LG,TAB,GPCD
2003,100,4/14/2003,1741,47.78,-49.62,R/V,LG,TAB,GPCD
2003,100,4/15/2003,1202,47.60,-49.50,R/V,MED,TAB,GPCD
2003,100,4/17/2003,2028,47.51,-49.31,R/V,LG,TAB,GPCD
2003,100,4/20/2003,1939,47.61,-48.87,R/V,LG,BLK,GPCD
